story,amountRaised,goal,url,campaignTitle,numberContributors,currencyType
"Atlanta Bound Bouncing Kidz Boutique has been selected to participate
  in styling our very on Tylon & Beau fashion show October 25, 2014
  and we need your help to showcase our own 'Arkansas"" kids talent
  All donations accepted $1, $5, 10 or whatever you have on you heart to
  give.This would mean a lot to the our kids  .. The donations will cover travel, room and board, food and a attaction
  we wiil take the kids to during our stay in Atlanta..,. Thanks so much
  Tylon & Beau for a great opportunity & choosing us #bkb to be
  apart of your big day !!!!!!!!!! ******UPDATE THE SHOW DATE CHANGED TO OCTOBER 25 That iwhy we
  extended the dead line!!",245,of $3k goal,https://fundrazr.com/aq6R2,***Atlanta Bound Bouncing Kidz Boutique Models***,8,U.S. Dollar
"Hey! So the other day I had the idea of potentially raising some
  funds for Amanda and Shunpei to come home to Canada for the Christmas
  Holidays. It would be their present from all of us :) I did a quick search and it would cost them about $2000 to make it
  hear and back around Christmas time (if they book sooner than later). Given their current circumstances they won't be able to afford that
  on their own; but, I definitely think we can make this happen if we
  all help to pitch in a bit. (Maybe subsidize the cost by ATLEAST half.) Feel free to spread the word! :)",450,of $1k goal,https://fundrazr.com/8slP0,Home for Christmas (Operation Ochi Express),3,Canadian Dollar
"Bonjour! My name is Bre, and I'm raising money to go on a school trip
  to Paris, France in April, 2015. I have wanted to travel to Paris since I was young and have taken 3
  years of French lessons with the goal of visiting the City of Light.
  This opportunity to go with my school is like a dream come true for
  me. I have my parents' blessing to go, but I have to raise the $3,300 myself. I have three payment deadlines to make. The first $500 is due October
  30th. I will be participating in fundraisers and working to earn money
  as well. Would you please consider donating toward my trip? Even a
  small amount will help me acheive my goal.",800,of $3k goal,https://fundrazr.com/6sR76,Support Bre's Trip to France!,9,U.S. Dollar
"I am rising funds for a new shoes (tires) for my VW-nano-camper
  v.1.0, on which I am touring from Vilnius (LT) towards Malaga (ES) via
  PL, CZ, AU, IT, FR and ES. See more on Facebook / By my VW . Thanks to Mr. Laivinis, and his wealthy contibution of 100 EUR, I've
  managed to changed two front tires, which in total did cost me 85 EUR,
  including tire-man labor.",100,of €175 goal,https://fundrazr.com/6tSqb,By my VW,1,Euro
"On April 4th 2015, We ,a group of Insane Backpackers from all across
  the globe, will take part in an epic adventure called the Rickshaw Run
  in order to raise as much money as possible for their chosen Charities. We will Race an Indian Rickshaw (Tuk-Tuk) 3500km across India from
  Jaislamer to Shillong in Bangladesh in 16 Days across some of the
  worst road conditions on the planet all in the name of charity along
  side 200 other teams. With No set route, No back-up, No way of knowing
  if we're going to make it. The only certainty is that we will get
  lost, we will get stuck ,we will break down and it will definately be challenging. If you are unsure of what a rickshaw is here is the offical
  description by the Rickshaw run team... ''If God had made machines he probably wouldn't have bothered with
    a Rickshaw. But as with so many other things he would have been
    wrong. Essentially, it's not a very good idea. It's not very fast,
    it smells, it falls over when you go round corners, it breaks downs
    more often than an emo teenager and a days driving feels like you've
    been kicked up the arse by an elephant. But somehow all this makes
    them better.'' So far, we have 9 people in our team; with this in mind everyone has
  a charity close to their hearts so we have chosen 4 charities so far
  to support. 1- Sea shepherd, a marine conservation organization. 2-Changing stories, helping underprivileged children in El salvador. 3-Alzheimer's society, helping fight Alzheimer's. 4-The MS Therapy Centre Oxford, supporting MS patients. On top of this the money we as idividuals will pay will go towards
  saving hecters of Rainforest in the Amazon Jungle Through the Cool
  Earth Charity Of which the Rickshaw Run is offically linked to. Please join us on this epic Adventure to raise as much money as
  possible which in the end will be split between all charities equally.",165,of £10k goal,https://fundrazr.com/1pS1d,Team Fun Tukking Tastics Charity Race Across India,3,Pound Sterling
"Hi Everyone! Please see my original post below in italics about how this page came
  to be. I have since been in touch with Dana and he is extremely grateful for
  all of your contributions! Follow his story on Facebook - it is
  nothing short of inspiring.  Let's keep the donations coming - they
  really do make a difference to this incredible journey across the
  Trans Canada Trail!! Maury & Family :) Check out his Facebook page here: https://www.facebook.com/thegreathike/info See where Dana is right now - LIVE: https://share.delorme.com/DanaMeise My name is Maury - and truth be told I've never met Dana Meise -
    but I sure feel as though I have. I hope he doesn't mind I stole his
    picture from his public Facebook page!  100% disclosure - Dana does
    NOT know I'm doing this. My wife heard his story on CBC with Stuart McLean and told me all
    about him.  My first reaction was to quietly nod and passively agree
    that ""Yes, sounds interesting.  Hiking the Trans Canada Trail.
     Sounds crazy"".  I believe my exact words were ""that's
    insane"".  And I quickly shuffled his story to the back of my
    mind next to the dusty file folder containing my intense love for
    Better Homes and Gardens. Yes that was sarcasm. The fact is - I completely dismissed Dana and his quest. Then something happened.  I began to think what I would tell my
    children someday if they asked about such a man and his hike.  The
    truth is - something amazing is happening here.  7 years later he is
    still hiking.  Yes - 7 years.  Dana has decided this is what he
    needs to do.  He has given himself to his journey 100%.  No excuses
    and no regrets and no fear of what could happen.  We could all learn
    from this - I know I sure could. Check out his Facebook page here: https://www.facebook.com/thegreathike/info See where Dana is right now - LIVE: https://share.delorme.com/DanaMeise Since being on CBC he has gained around 3500 new followers - I
    figure if every one of those people is willing to donate $1 - we can
    help him finish out his trek with a hotel night or two ""in his
    back pocket"" so to speak. Let's help Dana Complete His Journey. Maury. PS - 100% of all funds collected will go straight to Dana - I have
    not figured out the logistics - I'm sitting at my kitchen table
    letting my idea come to life.  It will be entirely up to him how
    these funds are spent (so if you don't want him to buy himself a
    beer... you might not want to donate).  With any luck we can help
    him finish his trip and get a book published - there is a powerful
    story here that we can all learn from which should be shared in print! Quote from Dana's Facebook Page: ""A 24,000k hike on the TransCanadaTrail - 18,000k done.
      Named Expedition Of The Year by Canadian Geographic as I hike
      4000km to Inuvik. A Forest Technologist who had a dream to explore my country
      (Canada) by foot and canoe on the Trans Canada Trail, which is the
      worlds longest trail at 24,000km's and stretches to all three of
      Canada's Oceans the Atlantic, Pacific, and Arctic, passing through
      over a 1000 communities... As of Dec 17th/2013 I became the first person to hike across
      Canada on the trail setting a record as the longest backpacking
      trip in the world on the worlds longest trail. It was a 16,500km
      journey beginning in Cape Spear Newfoundland Canada's Eastern Most
      point and ending in Point Clover Victoria B.C. Passing through
      over 900 communities making thousands of friends along the way. This year 2014 beginning early April I start hiking to Inuvik
      North West Territories. This journey will be a 6 month 4000km solo
      hike beginning in Fort Saskatchewan Alberta where the TCT splits
      and heads north. This will bring me to 21,000km's hiked with
      3000km's to go which will be done in 2015... Too see where I've been and where I am still going just go to
      the Trans Canada Trail site @ http://tctrail.ca/ Thank You...""",460,of $5k goal,https://fundrazr.com/7t8f8,The Great Hike - Help Dana Complete His Journey,17,Canadian Dollar
"So, In 2015, I will be embarking on the expedition of a lifetime to
  Madagascar for a whole month! During my stay I will be helping the
  community by redecorating and helping to build schools, building water
  pumps etc. My team and I will be completely co-dependant for the
  month, and relying on each other to be sensible with our fixed budget.
  During the next 18 months my team and I will be doing everything we
  can to raise the money so we can go on this expedition,
  (£4500...each). We will be doing group fundraisers as well as
  independent ones. It would mean a great deal to me if you were to
  sponsor me, just the smallest amount would help! Thank you!",300,of £4.5k goal,https://fundrazr.com/ddcX4,"Emma's World Challenge to Madagascar, 2015!",14,Pound Sterling
"This beautiful boy was given to me by my husband, Chris, for
  Valentine's Day 2012.   Chris died not even a year later in January
  2013.  Now, we are moving to America to be closer to my family so that
  we can try to move forward with our lives.  The price to ship a dog,
  especially a bull terrier cross breed is outrageous.  The price to
  ship him to the states started at £1400 and once they found out he was
  part pitbull the price jumped.  It's going to cost anywhere from £500
  to £900 more than we first thought. There were and still are days since Chris died when I don't want to
  get out of bed but have to.  This fourlegged furball makes it easier
  to get up.  Its hard to be sad when he's fighting to get his head
  under the covers to kiss you until your face is slimey.  He is my
  baby, he is a part of my marriage that I am not willing to say goodbye
  too.  He's family to me. If we don't reach the goal and I have to rehome him here in Derry,
  Northern Ireland, I will return all donations.  It states it's a 'Keep
  It All' campaign, but that's because All or Nothing campaigns are only
  available in the US and Canada, I'll refund the money myself. Thank you all in advance.  You will never know how much it means to me.",635,of £1.5k goal,https://fundrazr.com/2tnc6,Help the Harkin's bring Trooper home!,29,Pound Sterling
"Do you want to literally help save Tracy Boettcher's life while
  helping The ALS Living Fund? The number one cause of death from ALS isn't what you'd think.  It's
  LACK OF QUALITY OF LIFE.  That's right. That's what doctors told us. Imagine sitting day after day unable to talk, walk, eat or itch your
  own nose.  Now imagine going for a day out to find you can't get in
  the building or the bathroom or down any aisle.  Imagine watching
  others do all the things you would really love to be doing yourself.
  This is the life of most ALSers (PALS). Please help us go on this special handicap accessible cruise that has accommodations such as special prepared meals to fit
  our personal needs, easy access showers and beds, accessible shore
  events and shows with others who understand our daily struggles. Imagine how Happy YOU would be in that situation!! Please help save Tracy's life by giving him something this fantastic
  to look forward to while helping to raise money for The ALS  Living
  Fund as a portion of the expense will be donated to them. Our goal amount includes money for gas, hotel, food and taxi to get
  to and back from the boat as well as special excursions that are
  handicap accessible whiile on the cruise. See Details below: We thank you all for your thoughtfulness and generosity. Amy and Tracy Boettcher ALS cruise SAIL AWAY on Royal Caribbean's ""Navigator of the Seas"" Galveston, TX - December 7th - 14th 2014 Now Booking - Celebrate life with us! Help us build an ALS Residence right here in TEXAS! The ALS Living Fund works to improve the quality of life for
  people with Amyotrophic Lateral Sclerosis (ALS), through charitable grants. To learn more, visit http://thealslivingfund.org/ Invite
  your friends & family to join you as we embark on a cruising
  adventure to the Western Caribbean with port calls in Grand Cayman,
  Cozumel, & Falmouth, Jamaica. A portion of the bookings will go to
  support The ALS Living Fund. We have a limited number of wheelchair accessible staterooms
  available and will offer fully accessible shore excursions for those
  who need them. Enjoy outstanding entertainment including an
    ice show at sea, wonderful food and service, gym and spa, rock
    climbing wall, Flow Rider surf simulator, miniature golf,
    basketball, casino action and much, much more.","4,204",of $4.2k goal,https://fundrazr.com/atuEa,Help US Sail Away on an ALS Cruise,56,U.S. Dollar
"Bonjour! My name is Connor, and I'm raising money to go on a school
  trip to Paris, France in April, 2015. I'm taking French class this year and have the opportunity to travel
  with 7 other students from Cook Inlet Academy on an educational tour
  which will include the Notre Dame Cathedral, the Eiffel Tower, and
  many cultural landmarks. This experience will cost $3,300. Our team will be participating in
  fundraisers for the next several months. Would you please consider
  donating toward my trip? Even a small amount will help me acheive my goal.","1,210",of $2k goal,https://fundrazr.com/5t6N7,Support Connor's Trip to Paris,6,U.S. Dollar
"We are a music group by the name of HNM (Herb N
  Music) .  We have been honing our craft and making good music
  for some time now and as a result of dilligence and hard work, we now
  have an opportunity on the table with a very well known major record
  label. (hint: rhymes with ""clock station"") They want us to do a private showcase for them and if all goes well,
  then we will be sitting down with the lawyers to discuss terms.   This
  is a HUGE opportunity for a couple guys chasing a
  lifelong dream.   We could really use the help and support of all of
  you to help us cover expenses to travel, lodging, and miscellaneous to
  Atlanta for the showcase and then possibly to New York after, if all
  goes well.  We have calculated expenses to be only $3500. For those of you whom would ask, ""why should I care to
  contribute"", just imagine for a moment being a mere $3500 away
  from the chance at a dream that you have worked toward most of your
  life.  Imagine how exciting and nerve wrecking that would be!  For all
  those whom have never heard our music, be our guest to download our
  latest material free of charge. See if you agree that this music
  sounds like it should be on your radio instead of the current mindless
  noise that inundates the airwaves. Some of you know us, some of you don't.  Either way, wouldn't it be
  cool to be able to say 6 months from now, when you flip through the
  music channels or listen to the radio to be able to say, ""I
  played a part in helping those guys get to where they are right
  now""?  Obviously besides being eternally grateful, we would also
  be providing free new music to all contributors and tickets to our
  nfuture performances to thank you in person.  Whatever you can donate
  to our cause is greatly appreciated and puts us that much closer to
  doing what we love for a living.  And isn't that what it's all about? Check out the sneak peak for Herb N Music Slapperz vol. 1 ""Taste
  Out Yo Mowf Edition"" and decide for yourself. Herb N Music Mixtape Sneak Peek Thank you in advance for your time and support HNM",500,of $3.5k goal,https://fundrazr.com/7toxc,Help Us Get Our Dream Job with a Major Recod Label,4,U.S. Dollar
"I have been given the opportunity to travel to Germany with my school
  this coming February. I will be staying there with a host family and
  also with the group of students from my school. This trip is a great
  way for me to learn about other cultures while also being able to
  experience them myself. I would greatly appreciate any finacial
  support that you can give. Hameln is the town of the pied piper, it is
  northern Germany near Hannover. South Burlington High school has been
  doing this exchange with our sister school in Germany (Schiller
  Gymnasium) for 40 years now!","2,090",of $2k goal,https://fundrazr.com/1tQ76,Kylie's Trip to Hameln Germany!,30,U.S. Dollar
"Hi Everyone, I wanted to try and reach out to some of you that I
  think might be able to give a couple of pounds towards a person and
  his family whom I know and respect as a man. Last week my father passed away and I have come to learn that as one
  man has left the earth which was a father to me ' by name term' only. 
  Anther man is still on this earth who is a great father. I have trekked with Deu Chandra now twice, and met all his family.
  They all live in a small town in Nepal in Pokara. I have been to his
  house, eaten in there, spent time with his family and felt so
  welcomed. They live so simple and Deu does his absolute best as the
  man of the house to go out and find work in the harsh environment that
  is trekking. Deu's wife looks after the children and cant work as the
  'caste' system is so rife in Nepal that you have to be viewed as being
  in a certain category to be even able to find any sort of decent work. Deu is a lovely warm , kind and gentle man that just wants to be a
  good father to his children, everything that a father should be in
  this world we live in. My message is simply this, I am going to donate some money to Deu,
  and I hope you can spare some too. Even the price of a coffee or a
  sandwich, or 1 drink of the many i'm sure we are going to spend over
  this festive time. Money of which thi well deserved father, can spend money on his
  family, as I know he will do. To put things into perspective here are some figures. £10-15 is roughly a daily amount that he can earn for trekking 8-9
    hours in the freezing snow, helping us western lot up a hill . £40  pays his bills for about a third of the year....if not more £3 is the average cost of feeling his family for a few days in Pokara Please give whatever you can...... it is Christmas, and it should be
  a time that familys enjoy each others company, and i'm sure they will,
  even though they have no heating ! This year maybe he can sleep a bit easier at night with a little
  comfort blanket we can give him ....with a little extra money ... Thank you for the time you have taken to read this..... ** There are more pictures in the updates tab on the page ** He really is a great Father, to his children ! He tries his absolute
  best for his family. It's not easy trekking up mountains constantly
  when your in your mid 40's for not much money. He has been a porter
  all his life and now a trekker, its a brutal way to earn money ! Deadline is 24th  - Christmas Eve, I'm going to call him up then in
  Nepal, wish him a nice Christmas and then tell him how much we have raised. Lets be nice to one another in this world, please give what you can,
  thank you. Love Charlotte",180,,https://fundrazr.com/6ubac,Deu Chandra - Please give whatever you can :-),,
"I began running two years ago, after I was challenged to do a half
  marathon. I was enthusiastic, but quickly dropped when I was told I
  ""had a whole lot of quit in me."" I have run 7 half marathons
  to date, and by the end of 2014, I will have run 10. I have decided to run my first full marathon in January 2015. Not
  only will I complete 26.2 miles, but I want to go even further by
  earning a Coast-to-Coast medal! This means that I have to run at both
  Disney World and Disneyland in the same calendar year. This is the
  most important goal I am making for myself. I would rather my friends
  and family donate here and help me reach my goals than buy me
  ""stuff."" There is nothing I need other than food and air in
  my lungs... and some help in paying for Disney trips. :0 Thank you for your love and support!",495,of $1.2k goal,https://fundrazr.com/5lje2,Help Emily Run Disney's Coast-to-Coast in 2015!!!,10,U.S. Dollar
"In 2014 I self funded an attempt to achieve a life's dream of
  stepping foot on to the highest point on Earth. At the end of March I
  left my hometown of Hartlepool in the UK and travelled to Nepal, where
  I then trekked for 19 days to reach Mount Everest, the world's highest
  mountain. I was just hours away from the mountain and poised to begin
  the climb when a huge ice avalance came crashing down directly on to
  the climbing route. Unfortunately 16 sherpas were tragically killed in
  what became the worst and most fatal accident in the history of
  Everest climbing. This avalance ended all climbing on the mountain for 2014. I have vowed to return and give the climb one last shot but that all
  depends on whether I am able to get the funds together to pay the
  expedition fees for the 2nd year running. There are just 3 months to go now till departure from the UK for
  possibly one last chance to climb on Everest. After I travelled out to
  Everest in April 2014 after several years of tireless fundraising I
  never stepped foot on the mountain due to the deadliest single
  incident in the mountain's history on April 18th. Over the next 10 weeks I need to raise around £10,000 to take my
  place back on the team heading out to Nepal. Two years ago I had just 90 followers on this page and no way
  of raising the funds to reach the mountain. Today I have over 10,700
  likes, a failed attempt under my belt and a succesful brand of Everest
  themed gear to hopefully give me one more chance. No matter whether I succeed or fail I am proud of what I have
  achieved and how far I have come towards the achievement of a 20 year
  plus dream. Never ever give in people, ever. I may indeed not be there
  myself yet but I am inching closer day by day.",102,of £10k goal,https://fundrazr.com/av6Nf,Ellis's Everest Dream 2015,3,Pound Sterling
"I have an amazing opportunity to travel to Malta and
  Lebanon in January to learn more about the Syrian refugee crisis , support a local
    ministry that is serving Syrian refugees and to be a part of a
    global leadership meeting of the Refugee Highway Partnership . While this falls outside of my official role and responsibilities
  with World Relief in Sacramento, they have graciously
  offered to pay for some of my expenses of this trip. I'm asking all of you, as family, friends, co-workers, etc. to consider making a financial gift to help cover expenses for
    this arguably once-in-a-lifetime trip . Thank you and abundant blessings! Kirt Lewis Director, Sacramento Field Office of World Relief Grow Pastor, The Pointe Church (Antelope, CA)",815,of $2k goal,https://fundrazr.com/augR8,Global Refugee Ministry Trip,9,U.S. Dollar
"I am planning to participate in a 2-week-long internship in Uganda,
  Africa working with an existing organization to offer Micro business
  loans to widowed women in the area to start their own businesses. With
  these loans, the women can earn a steady income which will help them
  to provide for their families while also bringing better opportunities
  to the poverty stricken area. I am in need of $800 for the program
  fee, as well as a plane ticket and medical expenses estimated at a
  little over one thousand dollars. Everyone deserves the same
  opportunity regardless of the circumstances they are born into, by
  offering small loans at low rates; the people in Entebbe, Uganda will
  be able to make a start for themselves.",100,of $3k goal,https://fundrazr.com/9vLdc,"MicroFinance Internship in Uganda, Africa",1,U.S. Dollar
"Most of you know Tyler and the injuries he incurred from his
  accident. For those of you that do not know Tyler he is an amazing boy
  that was in an unfortunate car accident December 10th, 2013. He died three times at the scene of the accident and doctors
    were skeptical he would make it through the night. He made
  it through that night, and several months later he fought his way home
  from the hospital. Then doctors told us he would never breath again on
  his own. He proved them wrong yet again, and when he had a follow up
  appointment last September he was taken off ventilator support. Last week we took Tyler for an evaluation with the hopes to get him
  into vigorous day therapy. Unfortunately his evaluating doctor left us
  discouraged. By barely assessing him she was quick to say this
  wouldn’t be right program for him. In this particular instance, and
  with others in the past, I feel the doctor did not have Tyler's best
  interests and needs in mind and this only makes me want to prove her
  wrong also. He has proven doctors wrong in the past and I can
    see the fight in his eyes. I know his strengths and see how
  far he is willing to go and I won't let one evaluation limit my
  child's options. I have to take him to constant therapy and I won't
  settle for less. He has outgrown most of his loaner equipment and the insurance
  company has failed to actually provide him with the proper supplies
  that he needs to get around and to do his home therapies with. I have looked for a used wheelchair accessible vehicle but
    they are very expensive . Even with 100k miles and 10 years
  old the cost is still $20,000 at best. I have found some private
  sellers that would be willing to negotiate but it's still far out of
  my reach. To paint a clearer picture I am currently picking Tyler up
  out of his wheel chair and transporting him into my truck, this
  process wasn’t so bad when he was shorter and 40 pounds lighter. At
  this point, it has gotten very uncomfortable for him to be transported
  this way. We have had a fundraiser in the past for Tyler and it was very
  helpful but his medical needs are ongoing and the only way I can put
  that to a halt is to make sure he gets all the therapy he can get. I
  don’t like asking for handouts, but I need to know I did everything I
  could possibly do to care for my son. Thank you all so much
    for your continued love and support. We wouldn’t be where
  we are today if it wasn’t for each and every one of you! You can follow progress updates at: https://m.facebook.com/TylerOliviaNews","22,594",,https://fundrazr.com/dvuX2,Tyler's Wheelchair Accessible Vehicle,,
"Booked a trip to Australia for 3/13/15 - 3/22/15.  Paid for the Hotel
  and Airfare and will now be saving up for all the Fun!! Any help I
  receive means the more fun I get to have!",300,,https://fundrazr.com/8unO7,Paul's Australia Trip!,,
"On Feb 19, Amanda Lickers, Jo-Wolf Clan, Crystal Greene, Nina Wilson,
  Nancy Greyeyes, and friends will leave from southern Manitoba heading
  to Lakota territory for a three-day NVDA training called
  ""Moccasins on the Ground - Protect Sacred Water,"" held at
  Dupree, South Dakota.  This is a powerful gathering that has been
  hosted several times by Owe Aku's Sacred Water Protection Project and
  those who attend get to see old friends, and come away with new
  friends, skills and energy to keep organizing in their homelands. Help
  us get there and back.",510,of $600 goal,https://fundrazr.com/dwFRc,"Help us get to ""Moccasins on the Ground"" training",15,Canadian Dollar
"Greetings Family, Friends, and Strangers! Exciting times are ahead as I continue my education
  towards a Doctoral Degree in Physical Therapy at Grand Valley State
  University. Along my academic journey is the opportunity to share the
  knowledge and skills I’ve gained with a population of people that so
  desperately need up-to-date healthcare services and provisions. It is
  my hope that, through your compassion and generosity, my trip to
  Zacapa, Guatemala can happen, and these people who cannot otherwise
  afford proper physical therapy may have the access and quality they deserve. My GVSU crew will be working with Hearts in Motion.
  Physical Therapists first travelled to Guatemala with Hearts in Motion
  in 2002. At that time, the “therapy clinic” consisted of a slotted
  park bench within the public health department. Braces were made by
  recycling parts of old braces, softening the plastic by hot water
  heated over an open fire. Thanks to Hearts in Motion, residents of Zacapa, Guatemala
  and the surrounding communities are now able to receive therapy
  services in a fully equipped, free standing rehabilitation center. The
  Kevin O’Halloran Rehabilitation Center opened in 2004. Services are
  provided by a full time Guatemalan Physical Therapist, Esvin Monzon,
  at no charge. In 2011, over 210 people received therapy at this facility. Through your contributions I hope to assist in this effort,
  which will be focused on reaching people who are unable to leave their
  homes, working with children with disabilities, and assisting the
  clinic with the overwhelming number of patients they see daily. The
  trip is being funded entirely through donations and other fundraising
  initiatives put together by my classmates joining me. We will be
  sending therapy supplies ahead of us prior to our trip as well as
  bringing some with us. Every penny and item collected will be used to
  directly benefit our service to Guatemala. It is with great excitement that I prepare for this
  opportunity to serve and I humbly, yet eagerly, ask that you join me.
  Your support in the form of financial aid, prayer, or any other medium
  will be greatly appreciated. Please feel free to contact me if you
  have any questions or would like more information about the
  organization or our work in Guatemala. Additional information about
  Hearts in Motion can be found on their website at http://heartsinmotion.org/ ! My email address is waughz@mail.gvsu.edu . If you
  are not comfortable using this site to contribute, I can give you my
  personal address in which to send your donations. Please feel free to share (on this page or privately) any
  stories you have regarding your road to recovery, the impact of health
  and wellness on your life (or someone you know), or the importance and
  need for service in disadvantaged areas. I'd love to learn more about
  each of you and your perspectives towards health and wellness, as it
  is what serves as an inspiration to me to continue along this amazing journey. Thank YOU all, for it is all of YOU that will make this
  incredible experience a reality. Not for me, but for those who wish to
  walk, to jump, to eat, to clothe, and to sleep, knowing that their
  bodies will be able to once more perform the tasks they passionately
  seek out. It is truly my belief that our impact on the world extends
  further than arm's reach and beyond the contact list in our phones.
  Let's stretch it out a little bit more! ~~~~~~~~ “Everybody can be great...because anybody can serve. You don't
    have to have a college degree to serve. You don't have to make your
    subject and verb agree to serve. You only need a heart full of
    grace. A soul generated by love.” - Martin Luther King Jr.",585,of $3k goal,https://fundrazr.com/8rLVe,"A World Apart, A Step Together",16,U.S. Dollar
"Hello everyone! I have recently been accepted into MSU's study abroad program in
  Innsbruck, Austria for the Spring semester of 2015 (March-July). I
  will be taking classes at the historic University of Innsbruck through
  an International Student program. My goals for the semester are: To improve my German language proficiency Make connections with Austrian students and Innsbruck locals Build my resume with international academic and professional
    experience ( I am currently arranging an internship with the
      American Corner in Innsbruck, which is an extension of the embassy
      based in Vienna ). The reason I have set up this crowdfunding page is because 4 months
  in Europe is obviously not a cheap endeavor. I am required to cover
  the full cost of MSU tuition for 12 credits, the program fee, airfare,
  and spending money for myself to travel and eat. Any and all donations
  towards this trip by friends or family is greatly appreciated, and if you decide to donate, I plan on giving you something back
    in return! (Details of the perks are on the right side of
  the page) During my stay, I plan to travel throughout as much of Austria and
  Germany as I can during my free time, and my program already includes
  trips to south Tirol as well as a few other local Austrian landmarks.
  I will also have the opportunity of crossing off one of the biggest
  tasks on my life-long bucket list when I snowboard in the Alps! The
  town of Innsbruck resides in a valley at the base of the Austrian
  Alps, so ski resorts are bountiful and only a short drive away. Even if you decide not to donate, you will have access to the videoblog I will create while overseas. I plan to
  purchase a Go-Pro video camera to record the highlights of each week
  that I experience while in Austria and other parts of Europe. It might
  be as simple as me sharing a new German phrase I learned, a new friend
  I met, or even something as crazy as a first-person view of me
  shredding down a mountain on my snowboard! If you have any further questions about my trip, or this fundraising
  effort, feel free to email me at andrewjwilliams18@gmail.com or add me on Facebook at https://www.facebook.com/profile.php?id=1324463900 Thanks for your help!!!",681,,https://fundrazr.com/3u5Ab,"Andrew Williams Study Abroad to Innsbruck, Austria",,
"Justin Kane & Stonegate Road are independent artists and are
  hitting the the road this summer.  We have several shows booked
  throughout Wyoming and Nebraska.  Also in negotiations for shows
  ranging from Oregon to Nashville.  However we have our equipment, but
  in need of a trailer that is large enough to handle all of our needs. 
  Speakers, guitars, amps, lighting, merchandise and so much more.  We
  recently completed our debut album and just released nationally
  through country music radio, nashville recording artist Justin Kane's
  ""American Strong."" However we are a self funded band and the time from now to when we
  need the new trailer is not enough time to earn the money we need.  We
  have half the money needed and just need to raise a bit more.  We are
  looking into sponsorships as well to help with this cost. Justin is a nine year Navy Vet and it has been his dream to support
  our troops through his music. We are well on our way.  We want to
  raise funds not only for our trailer, but also we will be dontating a
  large portion of what is made to the Pets for Vets foundation that
  deals with Veterans suffering from PTSD.  Show your love for live
  music and our Veterans by donating anything you can. Thanks to all who help our cause and God Bless.. Find out more for Pets-for-Vets or if you want to just donate
  straight to them visit them at http://www.pets-for-vets.com/",116,of $4k goal,https://fundrazr.com/0wZh4,Justin Kane & Stonegate Road Helping Pets for Vets,4,U.S. Dollar
Here's a great story for bed time just ask turtle,550,of $30k goal,https://fundrazr.com/9wp28,Turtle Turtle club,2,U.S. Dollar
Jesse-Blue Forrest is walking across the U.S. to start a national campaign to call for a Constitutional Amendment to abolish the Selective Service System and any future military draft. Campaign donations will support campaign activity to set up a Non-profit organization and establish a web presence and also for food & shelter for Jesse on his Walk.,361,,https://fundrazr.com/fM029,People's Campaign to Abolish the Draft,,
"Rick and Tammy Ellis began youth church in Surrey, BC Canada with a
  vibrant group of teenagers 15 years ago! By the grace of God, we have
  expanded to a growing network of over 60 youth churches around the world. All of these youth churches share in a passion for the lost, a
  dependence on prayer and seeing young people be the church right now!
  A rich variety of relationships exist as some are youth ministries
  within a local church, some are more independent and others share in a
  united honor of being one international  church. Both the heart beat for the lost and for us to be one, is what
  creates the continued vision! In Bangladesh we have an amazing, dedicated family of leaders! Our
  trips to Uganda, Pakistan, Nigeria, USA always have been
  overwhelmingly successful as we meet to pray, plan and host
  conferences, leadership development, etc. We are believing this ministry trip to Bangladesh to be just as
  effective!  Never before have we as believers been able to support
  missions through these types of technology. Together you as friends,
  family and supporters can send your donations securely from all over
  the world and have regular personal reports while we are there! Whether you invest $10, $25, $50 or more, together we make a lasting
  impact on the nations of our world God loves so much! Thank-you so much for your continued love and support!","1,130",of $7k goal,https://fundrazr.com/9wUl4,Fundraiser to send Rick and Tammy to YC Bangladesh,11,Canadian Dollar
"Savannah is raising money to go with her school on an educational
  service trip to Costa Rica! She'll be traveling with others from her
  school, voluntering her time with community service projects, helping
  to distribute much needed school supplies to poor kids in Costa Rica,
  and experiencing first hand the faith of people in other cultures.
  This trip will only be possible for her through with the financial
  support of friends and family. Every little bit helps and is greatly appreciated.",460,of $3.1k goal,https://fundrazr.com/bub50,Help send Savannah to Costa Rica!,6,U.S. Dollar
